Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	16:12						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured at 1.3 m tx height_VP_PEC (metallic plate)
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-67.923	-77.247	
-88.00	-69.542	-90.156	
-86.00	-70.968	-160.864	
-84.00	-64.919	-144.755	
-82.00	-77.310	102.648	
-80.00	-62.636	146.426	
-78.00	-89.705	-51.588	
-76.00	-61.678	69.184	
-74.00	-71.210	161.756	
-72.00	-61.080	-4.508	
-70.00	-70.958	75.309	
-68.00	-61.532	-81.817	
-66.00	-71.679	9.010	
-64.00	-61.316	-154.941	
-62.00	-72.614	-95.023	
-60.00	-60.611	122.132	
-58.00	-71.010	164.528	
-56.00	-61.339	42.766	
-54.00	-67.938	80.716	
-52.00	-60.209	-43.673	
-50.00	-71.004	17.612	
-48.00	-59.543	-122.332	
-46.00	-71.786	-85.449	
-44.00	-58.809	164.223	
-42.00	-67.908	161.364	
-40.00	-58.922	78.471	
-38.00	-66.929	36.870	
-36.00	-58.933	-20.230	
-34.00	-59.252	-23.145	
-32.00	-58.544	-92.011	
-30.00	-55.620	-100.758	
-28.00	-60.660	-176.002	
-26.00	-52.136	165.960	
-24.00	-56.764	157.295	
-22.00	-51.969	77.857	
-20.00	-50.112	85.386	
-18.00	-57.777	50.878	
-16.00	-50.293	-9.733	
-14.00	-48.429	-2.803	
-12.00	-51.194	-3.884	
-10.00	-53.942	-30.786	
-8.00	-53.534	-59.097	
-6.00	-52.592	-71.505	
-4.00	-52.645	-73.649	
-2.00	-52.705	-69.626	
0.00	-53.042	-58.613	
2.00	-53.443	-38.309	
4.00	-53.181	-7.983	
6.00	-51.443	25.511	
8.00	-49.829	46.416	
10.00	-50.271	59.935	
12.00	-53.421	88.212	
14.00	-53.956	137.467	
16.00	-54.170	172.180	
18.00	-54.383	-137.977	
20.00	-52.164	-112.345	
22.00	-60.131	-96.459	
24.00	-56.459	14.608	
26.00	-54.309	10.046	
28.00	-64.203	70.924	
30.00	-56.094	143.438	
32.00	-60.951	130.401	
34.00	-61.205	-82.930	
36.00	-57.350	-107.624	
38.00	-64.548	41.699	
40.00	-58.609	-2.585	
42.00	-69.985	178.488	
44.00	-60.264	109.446	
46.00	-71.436	-103.738	
48.00	-60.934	-137.709	
50.00	-78.558	78.992	
52.00	-61.192	-47.596	
54.00	-71.660	151.773	
56.00	-61.700	49.475	
58.00	-69.293	-120.438	
60.00	-60.904	142.400	
62.00	-70.554	-55.864	
64.00	-61.607	-134.137	
66.00	-68.655	10.504	
68.00	-63.350	-57.516	
70.00	-66.964	95.737	
72.00	-63.731	3.524	
74.00	-64.908	158.258	
76.00	-64.348	84.138	
78.00	-65.456	-128.735	
80.00	-65.900	157.576	
82.00	-68.011	-65.062	
84.00	-68.074	-126.902	
86.00	-70.470	-38.836	
88.00	-69.154	-43.074	
90.00	-71.017	-34.019	
