Test Title:	3117 3D Patterns						
Date:	09/08/2024						
Time:	13:18						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards minus 45 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]
Start: 	-90.000000	Stop	90.000000	Increment	0.500000
[Step Axis] Name: 	
Start: 	0.000000	Stop	0.000000	Increment	0.000000
[Tert] Name: 	None 
[Forth] Name: 	None 
 [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None
 [Channel]  	S21			
 [ Beam] 	None

			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90	-73.88816903	59.26084359135331
-88	-66.81233252	105.26671412750773
-86	-70.84060118	-15.52134758
-84	-68.99087211	-14.57164574
-82	-73.61447469	-63.67871174
-80	-65.48114177	15.49376882545721
-78	-60.94868116	61.19524345053924
-76	-74.88450057	-75.51751825
-74	-65.20707515	-113.2573233
-72	-73.78572774	169.40106945742855
-70	-63.27908208	113.64814185115927
-68	-57.62992509	51.83908311268618
-66	-56.13613862	156.53215682194383
-64	-67.59739876	170.6977072782057
-62	-50.40476638	106.12222033698185
-60	-50.68624471	-12.62119037
-58	-61.41062916	-73.21162786
-56	-56.54280146	-124.090738
-54	-50.95146173	91.89766228444608
-52	-68.62405552	-97.16200239
-50	-57.48610148	-176.7778738
-48	-51.40141837	65.21643166
-46	-59.70987164	-173.2534749
-44	-62.32472862	-174.4927698
-42	-66.06831296	-49.1051531
-40	-71.91323687	142.98180260032677
-38	-62.60961875	64.22105852957654
-36	-53.68333372	90.72524976319153
-34	-69.53134234	-157.5517701
-32	-61.06177237	-166.7780567
-30	-65.45078499	-120.9396453
-28	-73.23984468	-92.10908685
-26	-61.53659589	41.21537609640038
-24	-52.8813535	147.86647003599631
-22	-53.31773759	-11.62683269
-20	-52.0260963	158.3930190495061
-18	-57.7751278	105.84656840932524
-16	-64.96882597	11.940117303159923
-14	-53.90180212	-72.83035914
-12	-59.87984913	145.88525509620683
-10	-62.12302822	151.4769956
-8	-71.63577201	-44.28297595
-6	-71.8158499	-21.87515918
-4	-69.45386179	26.24783996388672
-2	-68.64471858	-124.0793627
0	-55.97059502	-172.4722653
2	-66.07055163	-89.89314446
4	-65.10643183	-147.8115469
6	-67.16232274	1.579396080762507
8	-61.18479778	-24.98498978
10	-73.90167763	163.23568369435714
12	-51.42097598	-59.77473649
14	-64.45764515	-37.44819785
16	-64.50959419	-82.57246156
18	-73.63916475	-10.00594096
20	-73.15058067	102.1087475774666
22	-51.4932424	92.69742907302242
24	-73.23315068	-156.883783
26	-54.14128802	-10.37953137
28	-69.92270917	-178.7376939
30	-58.37128913	117.84135577384274
32	-67.05062287	-63.41740172
34	-53.957318	120.59432682954059
36	-54.32705633	-116.1272232
38	-52.52626512	-94.63748182
40	-50.03380837	-158.7425445
42	-72.56673162	103.03256009791198
44	-58.00634919	48.91094110849269
46	-67.68350791	49.77528869714695
48	-53.56965041	68.67159358959668
50	-56.09341455	66.66189141
52	-52.46079272	173.68269167425262
54	-56.9481026	80.33938820778133
56	-59.46242445	69.99783675982516
58	-51.04445575	-139.2495233
60	-61.00481067	-168.766285
62	-63.10886067	-128.9047067
64	-74.53781135	36.94169245125394
66	-57.95166502	143.16226845976115
68	-70.37580742	-1.762067712
70	-58.39009857	20.81300036675981
72	-68.54540537	-112.9439444
74	-60.44468589	-119.901631
76	-70.75795266	-170.1013476
78	-60.448928	148.7442914256174
80	-53.84603365	-83.80333264
82	-53.76932605	-88.31078196
84	-60.14576851	146.29013509547792
86	-60.5611269	-21.13620161
88	-60.56234994	110.44748340865806
90	-72.89819226	60.35226347304055

