Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	15:39						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards p45 degrees at 1.3 m tx height_VP
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-79.527	-111.602	
-88.00	-84.153	13.531	
-86.00	-74.837	107.280	
-84.00	-73.814	-124.701	
-82.00	-69.486	8.308	
-80.00	-70.602	119.202	
-78.00	-66.022	-73.791	
-76.00	-65.347	41.406	
-74.00	-66.986	-143.018	
-72.00	-63.844	-41.269	
-70.00	-69.511	128.108	
-68.00	-63.309	-103.429	
-66.00	-73.099	15.782	
-64.00	-63.860	-166.986	
-62.00	-70.199	-80.925	
-60.00	-63.647	108.594	
-58.00	-67.365	-174.093	
-56.00	-63.853	48.899	
-54.00	-62.846	105.748	
-52.00	-65.117	-6.872	
-50.00	-59.836	55.247	
-48.00	-72.668	-80.949	
-46.00	-62.062	3.473	
-44.00	-66.648	167.911	
-42.00	-67.049	-118.982	
-40.00	-65.005	110.597	
-38.00	-63.239	-179.550	
-36.00	-74.138	-166.311	
-34.00	-67.102	79.082	
-32.00	-68.945	-152.167	
-30.00	-59.827	-87.331	
-28.00	-67.352	-29.528	
-26.00	-61.390	-171.529	
-24.00	-60.086	-118.298	
-22.00	-60.466	46.672	
-20.00	-54.127	97.136	
-18.00	-57.686	115.002	
-16.00	-59.565	40.541	
-14.00	-53.650	36.674	
-12.00	-54.194	41.402	
-10.00	-58.447	25.104	
-8.00	-59.618	-40.993	
-6.00	-53.742	-63.118	
-4.00	-51.897	-60.280	
-2.00	-52.494	-50.785	
0.00	-55.820	-31.326	
2.00	-58.486	21.381	
4.00	-54.712	67.008	
6.00	-51.828	80.924	
8.00	-51.964	87.539	
10.00	-56.971	87.433	
12.00	-73.781	55.782	
14.00	-72.386	4.207	
16.00	-67.326	33.962	
18.00	-63.421	-15.962	
20.00	-60.888	-24.572	
22.00	-61.000	18.665	
24.00	-58.177	12.910	
26.00	-55.448	-18.787	
28.00	-56.012	-42.817	
30.00	-61.819	-54.880	
32.00	-57.895	-13.382	
34.00	-52.460	-36.393	
36.00	-53.584	-58.808	
38.00	-55.370	-18.168	
40.00	-50.345	-19.507	
42.00	-53.247	-25.969	
44.00	-52.650	15.596	
46.00	-50.684	10.470	
48.00	-55.176	48.901	
50.00	-52.413	70.286	
52.00	-57.420	90.259	
54.00	-54.310	142.294	
56.00	-58.614	154.853	
58.00	-55.687	-137.621	
60.00	-58.246	-154.668	
62.00	-57.108	-79.030	
64.00	-56.750	-96.885	
66.00	-59.277	-16.797	
68.00	-57.640	-39.546	
70.00	-64.065	51.772	
72.00	-59.119	13.161	
74.00	-68.510	92.178	
76.00	-59.039	75.689	
78.00	-71.811	178.121	
80.00	-59.995	127.955	
82.00	-72.832	156.367	
84.00	-61.826	-178.681	
86.00	-68.820	-173.693	
88.00	-64.931	-145.207	
90.00	-66.677	-134.557	
