Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	15:44						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards n60 degrees at 1.3 m tx height_VP
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-63.654	126.943	
-88.00	-62.938	108.836	
-86.00	-60.171	102.039	
-84.00	-63.185	101.315	
-82.00	-59.620	62.897	
-80.00	-58.532	80.621	
-78.00	-62.679	27.604	
-76.00	-55.970	46.383	
-74.00	-64.402	39.806	
-72.00	-56.508	3.372	
-70.00	-58.877	42.003	
-68.00	-58.944	-19.761	
-66.00	-56.490	11.410	
-64.00	-62.409	-3.514	
-62.00	-56.260	-11.818	
-60.00	-57.822	20.192	
-58.00	-58.539	-20.526	
-56.00	-55.075	-3.633	
-54.00	-60.105	3.962	
-52.00	-55.980	-24.107	
-50.00	-57.590	19.637	
-48.00	-64.680	-31.720	
-46.00	-57.698	14.945	
-44.00	-61.903	86.747	
-42.00	-64.380	38.915	
-40.00	-56.222	66.575	
-38.00	-63.761	86.981	
-36.00	-64.936	33.713	
-34.00	-64.095	67.844	
-32.00	-62.780	-155.767	
-30.00	-58.893	-125.550	
-28.00	-62.684	-175.536	
-26.00	-55.214	176.090	
-24.00	-59.370	-159.588	
-22.00	-59.356	66.399	
-20.00	-54.194	83.923	
-18.00	-59.239	66.816	
-16.00	-54.772	13.400	
-14.00	-52.255	21.309	
-12.00	-54.898	30.834	
-10.00	-62.086	16.226	
-8.00	-63.674	-75.039	
-6.00	-56.863	-82.981	
-4.00	-55.262	-69.781	
-2.00	-55.280	-50.992	
0.00	-56.363	-21.543	
2.00	-55.725	15.133	
4.00	-54.029	47.841	
6.00	-52.479	69.951	
8.00	-53.023	90.545	
10.00	-57.512	113.066	
12.00	-64.153	-165.681	
14.00	-62.159	-120.132	
16.00	-62.362	-106.820	
18.00	-58.734	-81.232	
20.00	-59.308	-60.292	
22.00	-67.473	28.519	
24.00	-61.315	59.019	
26.00	-63.393	-2.593	
28.00	-61.980	-114.612	
30.00	-57.757	-167.355	
32.00	-67.217	176.888	
34.00	-59.855	-79.806	
36.00	-57.604	-122.345	
38.00	-65.129	142.118	
40.00	-65.996	-26.620	
42.00	-59.884	-146.357	
44.00	-63.115	137.200	
46.00	-64.448	-41.002	
48.00	-64.543	-161.119	
50.00	-66.224	80.474	
52.00	-70.836	-35.482	
54.00	-64.944	158.510	
56.00	-67.313	65.756	
58.00	-65.675	-97.367	
60.00	-64.161	130.311	
62.00	-64.748	-23.432	
64.00	-64.658	-130.063	
66.00	-63.791	39.281	
68.00	-63.100	-52.203	
70.00	-66.413	100.374	
72.00	-61.556	0.009	
74.00	-79.810	142.924	
76.00	-60.793	59.834	
78.00	-76.595	-61.886	
80.00	-61.727	105.376	
82.00	-71.218	49.772	
84.00	-65.702	148.704	
86.00	-70.558	119.694	
88.00	-69.907	176.352	
90.00	-72.884	-176.248	
