Test Title:	3117 3D Patterns						
Date:	09/08/2024						
Time:	13:18						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards minus 45 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	0.500000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-60.655	156.937	
-89.50	-63.734	-175.205	
-89.00	-68.117	-128.668	
-88.50	-67.940	-51.093	
-88.00	-63.133	-6.070	
-87.50	-59.994	19.146	
-87.00	-58.119	39.751	
-86.50	-57.267	56.236	
-86.00	-57.217	71.454	
-85.50	-58.519	88.802	
-85.00	-61.197	109.595	
-84.50	-65.884	139.543	
-84.00	-74.527	-153.282	
-83.50	-66.867	-61.544	
-83.00	-61.623	-31.982	
-82.50	-58.439	-12.843	
-82.00	-56.983	6.030	
-81.50	-56.754	22.299	
-81.00	-57.171	37.139	
-80.50	-58.825	54.613	
-80.00	-62.069	73.421	
-79.50	-69.604	104.414	
-79.00	-71.109	-114.231	
-78.50	-62.553	-80.622	
-78.00	-59.103	-61.843	
-77.50	-57.162	-43.310	
-77.00	-56.178	-26.299	
-76.50	-56.159	-10.939	
-76.00	-57.644	4.162	
-75.50	-61.285	19.798	
-75.00	-68.788	46.226	
-74.50	-73.368	-179.277	
-74.00	-64.186	-127.023	
-73.50	-59.631	-102.778	
-73.00	-57.128	-83.525	
-72.50	-55.660	-68.313	
-72.00	-55.614	-55.410	
-71.50	-57.040	-41.553	
-71.00	-60.061	-26.837	
-70.50	-66.179	-11.577	
-70.00	-79.480	-151.767	
-69.50	-63.553	-151.371	
-69.00	-58.311	-137.911	
-68.50	-55.731	-126.475	
-68.00	-54.871	-117.191	
-67.50	-55.572	-107.375	
-67.00	-57.620	-96.858	
-66.50	-61.438	-84.620	
-66.00	-68.214	-89.276	
-65.50	-68.907	-175.930	
-65.00	-60.550	176.406	
-64.50	-56.471	179.554	
-64.00	-54.390	-173.473	
-63.50	-53.689	-166.649	
-63.00	-54.301	-160.163	
-62.50	-56.111	-155.725	
-62.00	-59.050	-157.161	
-61.50	-62.254	179.474	
-61.00	-60.117	144.831	
-60.50	-56.269	134.857	
-60.00	-53.542	135.617	
-59.50	-52.094	138.903	
-59.00	-51.743	143.866	
-58.50	-52.405	147.441	
-58.00	-53.828	150.672	
-57.50	-55.764	145.826	
-57.00	-57.111	130.133	
-56.50	-56.119	110.396	
-56.00	-53.765	100.365	
-55.50	-51.775	99.235	
-55.00	-50.665	101.235	
-54.50	-50.248	104.757	
-54.00	-50.796	109.022	
-53.50	-52.050	110.871	
-53.00	-53.620	110.331	
-52.50	-54.888	103.735	
-52.00	-55.129	92.533	
-51.50	-54.139	80.811	
-51.00	-52.578	75.551	
-50.50	-51.272	76.457	
-50.00	-50.650	80.076	
-49.50	-50.684	84.606	
-49.00	-51.385	88.420	
-48.50	-52.782	91.616	
-48.00	-54.496	93.502	
-47.50	-55.983	93.037	
-47.00	-56.952	87.522	
-46.50	-56.987	80.360	
-46.00	-55.965	74.364	
-45.50	-54.903	73.574	
-45.00	-53.962	77.520	
-44.50	-53.330	85.478	
-44.00	-53.125	93.311	
-43.50	-53.261	103.455	
-43.00	-53.621	112.871	
-42.50	-54.009	119.757	
-42.00	-54.535	125.821	
-41.50	-55.542	127.770	
-41.00	-56.595	121.677	
-40.50	-56.528	107.065	
-40.00	-55.503	96.975	
-39.50	-54.043	94.055	
-39.00	-53.006	96.522	
-38.50	-52.534	99.646	
-38.00	-52.438	106.792	
-37.50	-52.826	116.599	
-37.00	-53.480	126.107	
-36.50	-54.833	135.352	
-36.00	-56.909	142.720	
-35.50	-59.809	144.975	
-35.00	-63.088	139.473	
-34.50	-64.947	114.222	
-34.00	-63.177	98.241	
-33.50	-61.441	98.346	
-33.00	-60.482	103.715	
-32.50	-60.083	119.365	
-32.00	-59.670	139.014	
-31.50	-59.191	163.569	
-31.00	-58.103	-173.440	
-30.50	-56.866	-152.437	
-30.00	-55.797	-136.739	
-29.50	-55.157	-126.030	
-29.00	-54.749	-118.891	
-28.50	-54.949	-115.144	
-28.00	-55.528	-114.014	
-27.50	-56.442	-118.439	
-27.00	-57.146	-129.307	
-26.50	-57.134	-141.639	
-26.00	-56.315	-153.742	
-25.50	-55.439	-160.545	
-25.00	-54.824	-164.314	
-24.50	-54.642	-166.609	
-24.00	-55.037	-167.717	
-23.50	-55.739	-168.281	
-23.00	-56.850	-170.469	
-22.50	-58.606	-175.147	
-22.00	-60.844	179.170	
-21.50	-63.614	166.222	
-21.00	-66.140	139.667	
-20.50	-65.920	107.437	
-20.00	-64.203	81.012	
-19.50	-61.747	66.451	
-19.00	-59.575	56.719	
-18.50	-57.480	49.598	
-18.00	-55.747	47.301	
-17.50	-54.031	46.594	
