Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	15:21						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards negative 30 degrees at 1.3 m tx height_VP
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-68.608	-12.727	
-88.00	-66.676	-1.094	
-86.00	-68.964	3.506	
-84.00	-65.513	-55.254	
-82.00	-62.829	-27.307	
-80.00	-72.253	-68.553	
-78.00	-59.588	-81.446	
-76.00	-70.211	-33.286	
-74.00	-60.110	-132.688	
-72.00	-62.821	-82.469	
-70.00	-62.407	158.299	
-68.00	-63.618	-131.780	
-66.00	-64.716	73.101	
-64.00	-67.466	139.248	
-62.00	-61.122	-0.717	
-60.00	-59.790	34.917	
-58.00	-58.169	-38.964	
-56.00	-54.700	-27.095	
-54.00	-57.247	-61.868	
-52.00	-52.486	-71.377	
-50.00	-58.105	-89.057	
-48.00	-53.087	-123.986	
-46.00	-58.866	-133.079	
-44.00	-53.322	169.986	
-42.00	-54.956	163.464	
-40.00	-52.484	114.130	
-38.00	-52.599	124.181	
-36.00	-55.734	106.932	
-34.00	-53.225	101.537	
-32.00	-54.853	148.238	
-30.00	-56.734	178.538	
-28.00	-52.765	157.711	
-26.00	-49.152	175.241	
-24.00	-52.006	-169.620	
-22.00	-57.188	146.526	
-20.00	-56.461	143.562	
-18.00	-66.432	-88.338	
-16.00	-52.635	-21.525	
-14.00	-50.340	1.090	
-12.00	-52.354	9.558	
-10.00	-55.723	-0.287	
-8.00	-57.511	-26.107	
-6.00	-55.863	-38.961	
-4.00	-55.196	-32.807	
-2.00	-54.774	-22.658	
0.00	-54.796	-10.356	
2.00	-54.573	5.253	
4.00	-54.593	29.470	
6.00	-53.880	58.559	
8.00	-53.494	86.514	
10.00	-55.892	105.112	
12.00	-64.345	144.974	
14.00	-62.896	-149.766	
16.00	-59.337	-152.156	
18.00	-59.872	-128.386	
20.00	-63.906	-97.312	
22.00	-62.298	111.462	
24.00	-56.369	89.386	
26.00	-63.220	56.447	
28.00	-61.196	-165.165	
30.00	-55.326	174.509	
32.00	-64.900	165.216	
34.00	-58.962	-75.140	
36.00	-57.971	-103.661	
38.00	-66.128	58.985	
40.00	-58.147	4.311	
42.00	-70.461	-157.076	
44.00	-60.161	101.591	
46.00	-64.296	-1.095	
48.00	-64.455	-179.680	
50.00	-66.117	75.106	
52.00	-65.354	-32.969	
54.00	-71.786	145.569	
56.00	-62.074	36.943	
58.00	-65.184	-36.037	
60.00	-60.401	96.288	
62.00	-62.261	23.358	
64.00	-65.147	171.447	
66.00	-60.977	76.086	
68.00	-70.002	-91.028	
70.00	-61.914	132.471	
72.00	-67.816	-19.077	
74.00	-66.662	-156.508	
76.00	-64.559	65.342	
78.00	-66.493	-91.708	
80.00	-65.379	110.739	
82.00	-71.918	6.129	
84.00	-69.843	171.914	
86.00	-77.116	92.827	
88.00	-77.641	-155.871	
90.00	-79.897	-147.511	
