Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	15:58						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards 0 degrees at 1.3 m tx height_VP
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-75.252	21.765	
-88.00	-74.160	30.795	
-86.00	-72.454	54.960	
-84.00	-73.796	-86.838	
-82.00	-66.955	-0.435	
-80.00	-73.489	134.584	
-78.00	-64.002	-82.945	
-76.00	-68.339	53.147	
-74.00	-62.570	-152.122	
-72.00	-67.456	-54.645	
-70.00	-62.394	133.608	
-68.00	-66.292	-129.637	
-66.00	-63.836	68.342	
-64.00	-65.317	159.487	
-62.00	-66.552	-10.042	
-60.00	-64.407	83.576	
-58.00	-66.710	-95.955	
-56.00	-67.129	-15.824	
-54.00	-66.178	-167.801	
-52.00	-62.517	-97.447	
-50.00	-66.656	129.225	
-48.00	-61.066	-160.527	
-46.00	-67.169	52.692	
-44.00	-62.382	133.505	
-42.00	-68.608	-14.321	
-40.00	-60.514	41.726	
-38.00	-64.221	-51.248	
-36.00	-60.330	-44.830	
-34.00	-70.932	-60.773	
-32.00	-60.698	-147.833	
-30.00	-59.532	-156.157	
-28.00	-57.257	126.296	
-26.00	-52.286	131.333	
-24.00	-59.214	122.277	
-22.00	-52.176	42.474	
-20.00	-50.829	52.341	
-18.00	-56.456	-2.866	
-16.00	-48.400	-34.955	
-14.00	-47.547	-26.357	
-12.00	-51.128	-33.825	
-10.00	-53.189	-70.335	
-8.00	-51.789	-95.991	
-6.00	-50.947	-105.085	
-4.00	-51.004	-107.086	
-2.00	-51.342	-97.903	
0.00	-52.195	-79.655	
2.00	-52.894	-47.880	
4.00	-52.366	-4.902	
6.00	-50.203	29.872	
8.00	-49.447	51.228	
10.00	-51.643	67.842	
12.00	-55.386	99.426	
14.00	-55.139	133.674	
16.00	-56.806	161.428	
18.00	-55.640	-127.974	
20.00	-53.939	-110.365	
22.00	-67.696	-120.904	
24.00	-58.241	33.347	
26.00	-55.787	9.548	
28.00	-66.876	7.920	
30.00	-58.739	144.944	
32.00	-60.021	114.381	
34.00	-63.381	-68.112	
36.00	-57.091	-118.834	
38.00	-71.048	101.419	
40.00	-58.757	-16.132	
42.00	-66.088	-132.944	
44.00	-62.362	99.651	
46.00	-67.914	-5.029	
48.00	-62.565	-178.640	
50.00	-67.654	135.255	
52.00	-68.325	-78.238	
54.00	-65.193	-154.145	
56.00	-68.122	29.943	
58.00	-63.936	-62.295	
60.00	-63.282	111.057	
62.00	-64.867	11.459	
64.00	-64.289	-169.075	
66.00	-63.716	87.239	
68.00	-65.286	-99.368	
70.00	-63.153	153.299	
72.00	-65.195	-41.604	
74.00	-65.545	-132.542	
76.00	-66.056	42.811	
78.00	-64.916	-79.080	
80.00	-67.025	88.669	
82.00	-68.720	-6.510	
84.00	-73.175	135.231	
86.00	-73.180	58.023	
88.00	-76.611	117.349	
90.00	-84.566	70.611	
