Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	15:27						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards plus 30 degrees at 1.3 m tx height_VP
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-78.001	-7.753	
-88.00	-71.282	19.925	
-86.00	-71.772	49.342	
-84.00	-73.047	-54.061	
-82.00	-65.536	-3.019	
-80.00	-77.408	77.184	
-78.00	-63.570	-73.504	
-76.00	-66.926	22.726	
-74.00	-64.078	-138.441	
-72.00	-64.190	-55.262	
-70.00	-65.760	127.420	
-68.00	-65.414	-118.610	
-66.00	-66.401	50.763	
-64.00	-65.966	155.093	
-62.00	-66.656	-15.998	
-60.00	-61.998	71.976	
-58.00	-71.979	-81.046	
-56.00	-61.983	11.881	
-54.00	-70.165	122.510	
-52.00	-64.066	-56.369	
-50.00	-64.782	75.429	
-48.00	-65.359	-150.792	
-46.00	-68.273	29.615	
-44.00	-62.681	144.512	
-42.00	-74.534	-127.880	
-40.00	-64.722	59.976	
-38.00	-71.668	-112.299	
-36.00	-61.982	-64.802	
-34.00	-63.850	-29.116	
-32.00	-62.150	-102.122	
-30.00	-57.502	-83.501	
-28.00	-68.228	0.338	
-26.00	-60.165	158.642	
-24.00	-66.642	-136.296	
-22.00	-57.023	51.871	
-20.00	-53.598	91.341	
-18.00	-60.136	120.421	
-16.00	-63.178	-0.448	
-14.00	-55.873	17.900	
-12.00	-56.105	35.694	
-10.00	-60.745	33.227	
-8.00	-62.540	-37.731	
-6.00	-55.039	-54.012	
-4.00	-52.819	-46.577	
-2.00	-53.250	-38.479	
0.00	-56.987	-29.654	
2.00	-64.048	12.414	
4.00	-59.202	86.797	
6.00	-53.519	96.589	
8.00	-51.555	99.435	
10.00	-53.531	98.459	
12.00	-57.995	97.488	
14.00	-57.359	103.037	
16.00	-55.212	106.798	
18.00	-57.659	95.850	
20.00	-57.486	66.309	
22.00	-51.705	61.829	
24.00	-49.991	53.947	
26.00	-51.757	51.706	
28.00	-53.514	86.473	
30.00	-50.485	123.365	
32.00	-50.166	133.390	
34.00	-52.674	175.264	
36.00	-48.905	-160.294	
38.00	-52.256	-162.448	
40.00	-54.392	-105.971	
42.00	-54.046	-111.655	
44.00	-68.687	-25.524	
46.00	-56.868	-1.216	
48.00	-60.252	83.641	
50.00	-53.792	87.768	
52.00	-57.597	101.829	
54.00	-53.873	137.950	
56.00	-57.508	123.553	
58.00	-60.292	-170.186	
60.00	-57.722	141.096	
62.00	-99.156	-16.066	
64.00	-61.400	-179.138	
66.00	-61.871	89.110	
68.00	-70.526	-155.896	
70.00	-59.051	139.695	
72.00	-84.550	176.497	
74.00	-61.018	-167.787	
76.00	-67.162	120.540	
78.00	-61.317	-120.755	
80.00	-66.185	168.306	
82.00	-67.333	-75.380	
84.00	-65.603	-129.160	
86.00	-71.738	-59.995	
88.00	-67.227	-76.267	
90.00	-70.103	-66.459	
