Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	14:48						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards negative 60 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-56.173	-179.279	
-88.00	-71.173	-106.002	
-86.00	-56.896	113.652	
-84.00	-58.748	176.901	
-82.00	-62.158	61.873	
-80.00	-55.119	116.604	
-78.00	-70.704	137.858	
-76.00	-54.778	64.150	
-74.00	-57.241	110.073	
-72.00	-56.205	24.590	
-70.00	-53.299	63.665	
-68.00	-61.268	12.670	
-66.00	-52.201	25.797	
-64.00	-59.560	38.923	
-62.00	-54.067	-5.938	
-60.00	-55.020	33.039	
-58.00	-58.797	-9.821	
-56.00	-53.306	9.363	
-54.00	-57.888	32.400	
-52.00	-55.974	-13.824	
-50.00	-54.698	26.482	
-48.00	-62.279	4.445	
-46.00	-58.552	0.832	
-44.00	-58.770	55.421	
-42.00	-65.727	119.305	
-40.00	-59.547	52.975	
-38.00	-56.039	85.493	
-36.00	-68.338	135.073	
-34.00	-62.439	23.028	
-32.00	-64.894	108.962	
-30.00	-58.124	-124.004	
-28.00	-58.178	-102.582	
-26.00	-58.830	-163.686	
-24.00	-56.368	-175.988	
-22.00	-62.303	159.162	
-20.00	-62.592	84.044	
-18.00	-56.454	45.321	
-16.00	-51.812	46.675	
-14.00	-51.945	50.742	
-12.00	-54.571	27.120	
-10.00	-53.651	-6.681	
-8.00	-52.811	-24.033	
-6.00	-52.677	-44.771	
-4.00	-51.696	-58.165	
-2.00	-51.106	-55.248	
0.00	-51.919	-43.479	
2.00	-53.384	-14.159	
4.00	-53.308	25.940	
6.00	-51.184	56.615	
8.00	-50.796	75.097	
10.00	-53.439	98.603	
12.00	-56.667	142.322	
14.00	-59.933	172.415	
16.00	-61.578	-116.732	
18.00	-53.638	-90.464	
20.00	-54.084	-81.626	
22.00	-62.354	-27.773	
24.00	-61.315	45.948	
26.00	-59.135	51.698	
28.00	-63.511	35.168	
30.00	-65.354	-150.614	
32.00	-64.507	162.032	
34.00	-68.219	96.393	
36.00	-65.020	-31.017	
38.00	-67.186	-80.636	
40.00	-61.595	97.892	
42.00	-62.030	51.151	
44.00	-63.405	-165.661	
46.00	-60.828	138.471	
48.00	-80.782	145.544	
50.00	-59.774	-134.761	
52.00	-63.956	161.732	
54.00	-61.258	-74.294	
56.00	-59.800	-126.491	
58.00	-77.553	-11.696	
60.00	-58.227	-69.636	
62.00	-66.573	-142.643	
64.00	-58.327	-10.498	
66.00	-61.000	-81.509	
68.00	-61.675	57.802	
70.00	-59.895	-34.736	
72.00	-63.906	140.481	
74.00	-59.511	26.975	
76.00	-65.625	-118.428	
78.00	-60.778	92.769	
80.00	-63.700	-21.095	
82.00	-59.908	164.791	
84.00	-62.001	65.457	
86.00	-62.154	-107.521	
88.00	-59.678	147.921	
90.00	-61.541	-15.343	
