Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	15:33						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards n45 degrees at 1.3 m tx height_VP
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-66.923	48.087	
-88.00	-64.220	38.174	
-86.00	-63.565	39.899	
-84.00	-65.984	-6.264	
-82.00	-60.065	-3.004	
-80.00	-65.791	-5.778	
-78.00	-58.244	-60.211	
-76.00	-62.188	-29.187	
-74.00	-58.388	-109.736	
-72.00	-57.907	-85.082	
-70.00	-59.555	-159.043	
-68.00	-55.841	-137.152	
-66.00	-59.858	172.439	
-64.00	-54.527	171.022	
-62.00	-58.643	150.056	
-60.00	-53.422	121.393	
-58.00	-55.976	125.465	
-56.00	-54.550	86.798	
-54.00	-53.582	99.176	
-52.00	-57.617	70.357	
-50.00	-53.317	79.173	
-48.00	-58.809	104.750	
-46.00	-55.729	74.247	
-44.00	-53.797	114.924	
-42.00	-57.161	110.594	
-40.00	-52.654	97.223	
-38.00	-55.780	118.222	
-36.00	-60.382	101.107	
-34.00	-59.320	97.474	
-32.00	-61.401	-177.570	
-30.00	-58.230	-122.988	
-28.00	-62.550	-152.629	
-26.00	-55.214	-166.195	
-24.00	-57.301	-133.531	
-22.00	-63.317	39.896	
-20.00	-56.596	80.578	
-18.00	-62.464	53.784	
-16.00	-54.908	2.844	
-14.00	-52.303	16.666	
-12.00	-55.230	28.900	
-10.00	-62.986	17.568	
-8.00	-63.488	-82.903	
-6.00	-56.653	-86.199	
-4.00	-55.194	-70.869	
-2.00	-55.097	-51.797	
0.00	-56.050	-25.023	
2.00	-55.455	11.287	
4.00	-53.966	45.375	
6.00	-52.355	70.022	
8.00	-52.636	91.317	
10.00	-56.340	116.835	
12.00	-61.110	177.135	
14.00	-60.984	-150.564	
16.00	-61.859	-143.779	
18.00	-61.486	-106.588	
20.00	-66.622	-66.607	
22.00	-60.247	81.058	
24.00	-55.566	76.165	
26.00	-59.407	49.513	
28.00	-70.785	148.078	
30.00	-58.162	156.919	
32.00	-63.786	111.803	
34.00	-63.088	-47.569	
36.00	-61.035	-112.915	
38.00	-65.296	92.791	
40.00	-61.183	-3.491	
42.00	-63.274	-137.765	
44.00	-65.602	114.687	
46.00	-62.953	-30.826	
48.00	-65.585	-154.379	
50.00	-68.075	66.131	
52.00	-69.422	-38.282	
54.00	-64.340	162.079	
56.00	-68.184	75.673	
58.00	-65.181	-110.258	
60.00	-61.536	143.111	
62.00	-70.616	-56.860	
64.00	-60.346	-147.808	
66.00	-72.720	75.382	
68.00	-61.683	-90.407	
70.00	-67.158	166.584	
72.00	-63.208	-38.907	
74.00	-67.100	-115.349	
76.00	-65.043	43.239	
78.00	-65.876	-77.704	
80.00	-66.507	102.063	
82.00	-70.389	-2.234	
84.00	-70.918	162.468	
86.00	-75.905	85.780	
88.00	-76.955	-170.474	
90.00	-78.483	-166.363	
