Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	15:03						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards negative 30 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-62.991	-178.074	
-88.00	-60.598	-28.367	
-86.00	-60.316	67.365	
-84.00	-64.810	-109.293	
-82.00	-58.007	-11.340	
-80.00	-69.610	104.392	
-78.00	-57.983	-80.837	
-76.00	-61.274	-1.889	
-74.00	-61.046	-147.261	
-72.00	-58.031	-61.417	
-70.00	-67.819	127.673	
-68.00	-58.097	-118.938	
-66.00	-64.153	16.693	
-64.00	-62.649	172.106	
-62.00	-62.042	-35.969	
-60.00	-60.662	50.326	
-58.00	-62.377	-45.740	
-56.00	-54.761	-12.537	
-54.00	-59.980	-29.787	
-52.00	-52.800	-59.568	
-50.00	-56.718	-50.851	
-48.00	-54.699	-103.830	
-46.00	-55.860	-107.357	
-44.00	-58.650	-178.421	
-42.00	-53.332	174.563	
-40.00	-56.302	128.254	
-38.00	-51.446	115.559	
-36.00	-54.589	130.536	
-34.00	-56.202	94.393	
-32.00	-54.676	125.561	
-30.00	-55.130	-172.611	
-28.00	-54.456	-160.481	
-26.00	-51.064	-177.465	
-24.00	-49.992	179.541	
-22.00	-51.838	174.764	
-20.00	-56.708	171.921	
-18.00	-67.441	44.778	
-16.00	-54.206	36.464	
-14.00	-53.247	35.357	
-12.00	-53.725	6.116	
-10.00	-51.287	-14.517	
-8.00	-50.731	-20.243	
-6.00	-51.234	-29.334	
-4.00	-51.597	-37.956	
-2.00	-51.796	-36.555	
0.00	-52.458	-29.551	
2.00	-53.649	-10.399	
4.00	-54.820	20.508	
6.00	-53.568	56.130	
8.00	-52.832	77.247	
10.00	-55.414	98.602	
12.00	-59.309	149.518	
14.00	-59.424	177.829	
16.00	-61.913	-149.375	
18.00	-56.410	-105.616	
20.00	-56.834	-104.287	
22.00	-69.905	132.762	
24.00	-59.483	102.423	
26.00	-58.548	98.952	
28.00	-62.821	105.159	
30.00	-59.387	-165.753	
32.00	-58.149	178.682	
34.00	-65.633	169.428	
36.00	-62.100	-70.923	
38.00	-60.676	-87.925	
40.00	-68.492	83.724	
42.00	-60.405	22.212	
44.00	-69.266	-133.271	
46.00	-61.909	109.204	
48.00	-67.543	54.059	
50.00	-65.246	-148.375	
52.00	-62.075	122.622	
54.00	-68.672	-43.710	
56.00	-64.354	-162.241	
58.00	-63.957	85.327	
60.00	-65.574	-66.119	
62.00	-61.982	155.170	
64.00	-62.378	28.408	
66.00	-64.230	-140.089	
68.00	-59.802	103.442	
70.00	-66.286	-74.944	
72.00	-59.072	166.281	
74.00	-66.563	25.641	
76.00	-59.922	-122.575	
78.00	-65.250	118.786	
80.00	-61.845	-46.407	
82.00	-60.970	-172.950	
84.00	-63.772	43.040	
86.00	-60.703	-88.998	
88.00	-62.940	147.881	
90.00	-59.091	-14.887	
