Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	14:25						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards 0 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-61.094	-177.052	
-88.00	-62.629	-42.292	
-86.00	-60.867	82.007	
-84.00	-62.889	-139.844	
-82.00	-61.140	-9.212	
-80.00	-62.509	123.322	
-78.00	-60.145	-100.905	
-76.00	-63.359	33.267	
-74.00	-59.463	178.702	
-72.00	-62.463	-51.780	
-70.00	-60.434	105.541	
-68.00	-61.373	-131.859	
-66.00	-61.310	38.084	
-64.00	-61.054	158.864	
-62.00	-64.010	-45.640	
-60.00	-61.846	84.739	
-58.00	-65.060	-125.939	
-56.00	-62.430	-2.715	
-54.00	-66.373	155.114	
-52.00	-60.174	-90.149	
-50.00	-69.809	77.315	
-48.00	-61.349	-148.420	
-46.00	-70.503	-85.905	
-44.00	-64.719	106.307	
-42.00	-68.239	-176.377	
-40.00	-61.369	13.114	
-38.00	-60.771	42.585	
-36.00	-62.457	-66.779	
-34.00	-58.529	-36.185	
-32.00	-76.374	-164.238	
-30.00	-57.057	-136.913	
-28.00	-61.783	-146.505	
-26.00	-55.010	139.660	
-24.00	-53.828	135.787	
-22.00	-56.338	91.382	
-20.00	-54.279	49.345	
-18.00	-52.390	18.140	
-16.00	-50.020	4.929	
-14.00	-50.519	-6.042	
-12.00	-50.927	-33.213	
-10.00	-49.510	-52.915	
-8.00	-49.182	-65.598	
-6.00	-49.543	-80.143	
-4.00	-49.227	-90.611	
-2.00	-49.340	-86.912	
0.00	-49.928	-72.942	
2.00	-50.571	-45.515	
4.00	-49.982	-9.912	
6.00	-48.407	19.126	
8.00	-48.012	38.153	
10.00	-50.583	55.216	
12.00	-53.686	93.358	
14.00	-54.566	119.543	
16.00	-58.368	160.777	
18.00	-54.060	-134.697	
20.00	-53.593	-117.528	
22.00	-61.847	-95.218	
24.00	-69.642	9.820	
26.00	-58.854	35.955	
28.00	-58.677	29.071	
30.00	-74.442	120.502	
32.00	-63.579	138.598	
34.00	-65.519	125.403	
36.00	-64.055	-60.306	
38.00	-59.872	-87.871	
40.00	-78.877	75.673	
42.00	-61.293	4.537	
44.00	-65.306	-103.315	
46.00	-66.329	121.318	
48.00	-69.596	20.532	
50.00	-62.512	-122.840	
52.00	-63.873	137.972	
54.00	-64.088	-51.966	
56.00	-62.524	-143.298	
58.00	-66.204	77.406	
60.00	-62.572	-65.721	
62.00	-62.884	159.771	
64.00	-61.950	18.141	
66.00	-62.476	-128.644	
68.00	-61.347	100.879	
70.00	-62.947	-71.332	
72.00	-59.808	170.267	
74.00	-64.280	11.061	
76.00	-60.342	-113.543	
78.00	-64.959	97.289	
80.00	-60.945	-38.840	
82.00	-61.802	-178.733	
84.00	-61.937	42.927	
86.00	-61.901	-89.946	
88.00	-61.672	136.845	
90.00	-59.325	-11.411	
