Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	14:55						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards plus30 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-60.803	-166.290	
-88.00	-61.581	-43.821	
-86.00	-61.495	84.911	
-84.00	-62.188	-134.414	
-82.00	-60.730	-3.687	
-80.00	-62.152	122.451	
-78.00	-61.468	-88.066	
-76.00	-60.293	35.277	
-74.00	-63.306	170.440	
-72.00	-59.402	-27.904	
-70.00	-61.956	75.987	
-68.00	-61.613	-92.917	
-66.00	-59.391	14.414	
-64.00	-65.281	170.359	
-62.00	-62.417	-43.434	
-60.00	-60.480	85.921	
-58.00	-70.287	161.737	
-56.00	-58.103	39.878	
-54.00	-57.940	85.146	
-52.00	-61.820	11.763	
-50.00	-55.522	48.675	
-48.00	-66.996	40.277	
-46.00	-61.920	-2.208	
-44.00	-64.440	69.701	
-42.00	-61.109	-168.237	
-40.00	-82.259	128.359	
-38.00	-59.834	129.587	
-36.00	-58.808	-152.880	
-34.00	-67.035	-64.772	
-32.00	-66.703	-166.049	
-30.00	-54.885	-106.999	
-28.00	-55.112	-81.899	
-26.00	-60.299	-122.017	
-24.00	-59.232	-148.127	
-22.00	-66.897	162.368	
-20.00	-60.694	100.968	
-18.00	-56.194	72.826	
-16.00	-51.503	69.027	
-14.00	-51.343	73.309	
-12.00	-54.700	53.126	
-10.00	-54.582	8.648	
-8.00	-53.159	-17.647	
-6.00	-51.991	-37.846	
-4.00	-50.408	-50.446	
-2.00	-50.378	-49.680	
0.00	-52.727	-40.663	
2.00	-56.788	-6.537	
4.00	-55.958	54.781	
6.00	-51.532	80.831	
8.00	-50.380	91.455	
10.00	-52.248	105.003	
12.00	-54.588	122.750	
14.00	-56.467	108.585	
16.00	-59.504	67.058	
18.00	-61.984	-8.045	
20.00	-60.624	3.556	
22.00	-53.672	48.589	
24.00	-51.430	60.660	
26.00	-50.320	62.135	
28.00	-52.129	64.756	
30.00	-54.573	114.485	
32.00	-51.391	128.253	
34.00	-52.205	140.065	
36.00	-54.868	-179.588	
38.00	-52.591	-152.172	
40.00	-55.114	-158.671	
42.00	-58.653	-88.520	
44.00	-55.972	-95.217	
46.00	-65.986	-4.219	
48.00	-57.439	14.526	
50.00	-64.454	44.508	
52.00	-54.642	90.445	
54.00	-59.894	78.386	
56.00	-56.583	141.812	
58.00	-56.352	118.097	
60.00	-64.225	-170.455	
62.00	-57.001	160.955	
64.00	-68.198	58.284	
66.00	-60.897	-147.198	
68.00	-59.737	111.863	
70.00	-66.777	-87.730	
72.00	-57.793	163.459	
74.00	-67.834	52.081	
76.00	-59.044	-135.786	
78.00	-62.917	130.928	
80.00	-62.714	-64.472	
82.00	-58.798	-168.910	
84.00	-67.440	41.584	
86.00	-59.010	-96.585	
88.00	-62.458	165.006	
90.00	-58.905	-25.425	
