Test Title:	3117 3D Patterns						
Date:	09/08/2024						
Time:	13:00						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards plus 45 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	1.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.495000	3.505000	0.000000	3.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-61.427	176.712	
-89.00	-63.162	-116.069	
-88.00	-62.103	-37.806	
-87.00	-60.669	26.450	
-86.00	-60.265	77.239	
-85.00	-62.836	136.755	
-84.00	-64.139	-138.422	
-83.00	-61.773	-63.188	
-82.00	-59.849	-6.602	
-81.00	-60.282	45.678	
-80.00	-63.226	110.055	
-79.00	-63.696	-156.651	
-78.00	-61.153	-88.041	
-77.00	-59.707	-27.266	
-76.00	-60.567	25.558	
-75.00	-63.492	94.960	
-74.00	-64.196	177.457	
-73.00	-61.900	-91.178	
-72.00	-59.019	-39.251	
-71.00	-60.272	14.168	
-70.00	-63.846	74.371	
-69.00	-66.693	-162.808	
-68.00	-60.043	-102.262	
-67.00	-60.069	-51.993	
-66.00	-60.910	2.660	
-65.00	-68.423	67.257	
-64.00	-63.774	-172.407	
-63.00	-61.229	-122.587	
-62.00	-61.841	-65.740	
-61.00	-64.156	1.369	
-60.00	-63.337	95.911	
-59.00	-61.434	144.004	
-58.00	-65.404	-158.170	
-57.00	-67.442	-51.656	
-56.00	-61.786	31.041	
-55.00	-58.429	72.223	
-54.00	-60.269	98.066	
-53.00	-75.437	130.191	
-52.00	-66.362	-12.883	
-51.00	-59.457	23.520	
-50.00	-57.665	48.557	
-49.00	-60.511	65.181	
-48.00	-75.071	49.801	
-47.00	-68.617	-47.318	
-46.00	-64.097	-13.977	
-45.00	-62.905	24.108	
-44.00	-64.511	72.516	
-43.00	-64.439	145.070	
-42.00	-61.729	-174.515	
-41.00	-65.224	-153.808	
-40.00	-77.128	98.523	
-39.00	-63.166	92.940	
-38.00	-59.063	119.986	
-37.00	-57.869	157.081	
-36.00	-59.102	-173.754	
-35.00	-65.254	-137.713	
-34.00	-78.071	37.395	
-33.00	-65.220	89.198	
-32.00	-63.093	135.341	
-31.00	-60.571	-166.315	
-30.00	-57.698	-124.885	
-29.00	-56.516	-97.288	
-28.00	-57.918	-86.065	
-27.00	-61.752	-98.736	
-26.00	-61.730	-141.166	
-25.00	-58.882	-155.818	
-24.00	-59.031	-155.338	
-23.00	-61.830	-155.673	
-22.00	-67.244	-174.297	
-21.00	-70.601	131.842	
-20.00	-66.117	93.316	
-19.00	-62.383	71.864	
-18.00	-58.493	58.589	
-17.00	-55.010	57.988	
-16.00	-52.615	60.988	
-15.00	-51.633	64.658	
-14.00	-51.911	65.595	
-13.00	-53.226	61.027	
-12.00	-54.794	45.071	
-11.00	-54.771	22.996	
-10.00	-53.693	6.410	
-9.00	-52.928	-5.107	
-8.00	-52.634	-14.933	
-7.00	-52.408	-26.331	
-6.00	-51.913	-36.543	
-5.00	-51.329	-45.596	
-4.00	-50.688	-52.029	
-3.00	-50.327	-53.157	
-2.00	-50.564	-51.554	
-1.00	-51.293	-48.328	
0.00	-52.605	-41.262	
1.00	-54.319	-29.602	
2.00	-56.354	-7.288	
3.00	-56.789	24.328	
4.00	-55.186	50.494	
5.00	-52.861	66.187	
6.00	-51.169	75.084	
7.00	-50.277	80.499	
8.00	-50.276	84.835	
9.00	-51.157	90.784	
10.00	-52.900	99.192	
11.00	-55.142	109.850	
12.00	-57.339	122.149	
13.00	-59.791	123.343	
14.00	-62.417	105.232	
15.00	-65.041	61.955	
16.00	-63.809	0.349	
17.00	-59.203	-37.592	
18.00	-55.882	-57.686	
19.00	-54.603	-64.492	
20.00	-55.377	-58.353	
21.00	-57.518	-38.145	
22.00	-58.592	-14.746	
23.00	-59.075	-0.636	
24.00	-60.163	4.652	
25.00	-59.928	6.032	
26.00	-57.963	2.452	
27.00	-56.601	-5.689	
28.00	-56.862	-24.621	
29.00	-57.598	-52.296	
30.00	-58.161	-77.950	
31.00	-59.676	-88.744	
32.00	-62.224	-77.292	
33.00	-63.234	-56.398	
34.00	-60.791	-51.426	
35.00	-57.230	-54.607	
36.00	-54.352	-55.333	
37.00	-52.952	-59.179	
38.00	-53.051	-62.693	
39.00	-54.828	-56.701	
40.00	-55.853	-32.889	
41.00	-53.376	-13.762	
42.00	-51.118	-15.207	
43.00	-50.970	-22.033	
44.00	-52.972	-21.136	
45.00	-54.737	-3.177	
46.00	-52.602	23.108	
47.00	-50.601	30.706	
48.00	-51.147	28.050	
49.00	-53.523	27.563	
50.00	-55.621	50.692	
51.00	-53.917	78.651	
52.00	-52.155	86.910	
53.00	-53.380	86.135	
54.00	-58.006	88.083	
55.00	-60.283	132.797	
56.00	-55.887	154.587	
57.00	-54.480	150.493	
58.00	-57.937	145.230	
