Test Title:	RIS Patterns						
Date:	09/08/2024						
Time:	14:39						
Operator Name:	ZK, MK, THL						
Comment:	Tx: Reference antenna 3117 sn99222 Vp
Rx: Reference antenna 3117 sn143090
RIS configured towards plus 60 degrees at 1.3 m tx height
						
							
[Scan Axis] Name: 	Elevation  [deg]Start: 	-90.000000	Stop	90.000000	Increment	2.000000[Step Axis] Name: 	Start: 	0.000000	Stop	0.000000	Increment	0.000000[Tert] Name: 	None [Forth] Name: 	None  [ Freq.]  (Sweep:Start,Stop,Step) 	GHz.	3.400000	3.600000	0.000000	11.000000
 [Switch]  	None [Channel]  	S21			 [ Beam] 	None			
Database:			
First Question			
2nd			
3rd			
4th			
			
Frequency	3.500000	GHz	
Channel	S21		
Scan Axis name	Elevation  [deg]		
Scan Axis	Amplitude	Phase	
			
-90.00	-59.576	-169.359	
-88.00	-62.518	-51.864	
-86.00	-61.302	98.059	
-84.00	-60.386	-145.648	
-82.00	-63.597	-3.729	
-80.00	-59.805	135.922	
-78.00	-61.335	-117.062	
-76.00	-61.704	61.860	
-74.00	-58.543	159.983	
-72.00	-65.696	-11.816	
-70.00	-57.084	96.536	
-68.00	-69.182	-160.547	
-66.00	-57.260	44.491	
-64.00	-61.515	119.158	
-62.00	-61.419	3.084	
-60.00	-57.354	70.175	
-58.00	-75.761	36.855	
-56.00	-57.604	25.855	
-54.00	-61.856	83.851	
-52.00	-64.723	-33.913	
-50.00	-60.219	58.367	
-48.00	-69.183	173.850	
-46.00	-80.962	25.977	
-44.00	-60.340	109.912	
-42.00	-58.605	159.000	
-40.00	-63.248	93.630	
-38.00	-57.014	102.203	
-36.00	-65.703	174.821	
-34.00	-63.241	5.688	
-32.00	-68.367	88.168	
-30.00	-58.549	-102.306	
-28.00	-57.915	-75.728	
-26.00	-64.867	-147.961	
-24.00	-61.232	-170.644	
-22.00	-68.786	123.513	
-20.00	-61.882	65.689	
-18.00	-56.718	41.942	
-16.00	-52.286	46.708	
-14.00	-52.342	51.637	
-12.00	-55.289	27.295	
-10.00	-53.750	-9.311	
-8.00	-52.258	-26.119	
-6.00	-51.590	-43.874	
-4.00	-50.615	-54.804	
-2.00	-50.300	-52.140	
0.00	-51.440	-41.744	
2.00	-53.496	-13.443	
4.00	-53.635	30.416	
6.00	-51.243	60.198	
8.00	-50.707	75.931	
10.00	-54.055	94.724	
12.00	-59.667	143.461	
14.00	-64.986	-164.268	
16.00	-60.056	-81.351	
18.00	-52.578	-80.387	
20.00	-53.196	-80.605	
22.00	-63.641	-54.014	
24.00	-69.031	109.575	
26.00	-63.543	125.640	
28.00	-63.824	175.680	
30.00	-54.907	-164.421	
32.00	-54.579	175.546	
34.00	-56.500	156.878	
36.00	-61.052	172.164	
38.00	-57.865	176.195	
40.00	-53.965	134.715	
42.00	-56.945	116.709	
44.00	-55.213	160.976	
46.00	-53.536	135.028	
48.00	-56.652	127.533	
50.00	-55.376	163.690	
52.00	-52.850	142.025	
54.00	-58.385	173.306	
56.00	-53.016	-173.927	
58.00	-56.865	177.628	
60.00	-54.998	-120.044	
62.00	-55.291	-141.316	
64.00	-57.204	-57.655	
66.00	-54.677	-85.617	
68.00	-61.444	-1.984	
70.00	-54.731	-34.549	
72.00	-68.538	46.393	
74.00	-54.873	21.358	
76.00	-68.862	-8.963	
78.00	-56.425	78.473	
80.00	-60.946	24.040	
82.00	-57.856	140.108	
84.00	-57.976	80.172	
86.00	-65.297	-146.507	
88.00	-56.683	143.099	
90.00	-65.275	2.344	
